ADDRESS_ID,ADDRESS,ADDRESS2,DISTRICT,CITY_ID,POSTAL_CODE,PHONE,LAST_UPDATE
1,47 MySakila Drive,NULL, ,300,NULL, ,2018-09-17 15:42:53 +0000
2,28 MySQL Boulevard,NULL, ,576,NULL, ,2018-09-17 15:42:54 +0000
3,23 Workhaven Lane,NULL, ,300,NULL, ,2018-09-17 15:42:55 +0000
4,1411 Lillydale Drive,NULL, ,576,NULL, ,2018-09-17 15:42:56 +0000
5,1913 Hanoi Way,NULL, ,463,35200, ,2018-09-17 15:42:57 +0000
6,1121 Loja Avenue,NULL, ,449,17886, ,2018-09-17 15:42:58 +0000
7,692 Joliet Street,NULL, ,38,83579, ,2018-09-17 15:42:59 +0000
8,1566 Inegl Manor,NULL, ,349,53561, ,2018-09-17 15:43:00 +0000
9,53 Idfu Parkway,NULL, ,361,42399, ,2018-09-17 15:43:00 +0000
10,1795 Santiago de Compostela Way,NULL, ,295,18743, ,2018-09-17 15:43:01 +0000
11,900 Santiago de Compostela Parkway,NULL, ,280,93896, ,2018-09-17 15:43:02 +0000
12,478 Joliet Way,NULL, ,200,77948, ,2018-09-17 15:43:03 +0000
13,613 Korolev Drive,NULL, ,329,45844, ,2018-09-17 15:43:04 +0000
14,1531 Sal Drive,NULL, ,162,53628, ,2018-09-17 15:43:05 +0000
15,1542 Tarlac Parkway,NULL, ,440,1027, ,2018-09-17 15:43:06 +0000
16,808 Bhopal Manor,NULL, ,582,10672, ,2018-09-17 15:43:07 +0000
17,270 Amroha Parkway,NULL, ,384,29610, ,2018-09-17 15:43:07 +0000
18,770 Bydgoszcz Avenue,NULL, ,120,16266, ,2018-09-17 15:43:08 +0000
19,419 Iligan Lane,NULL, ,76,72878, ,2018-09-17 15:43:09 +0000
20,360 Toulouse Parkway,NULL, ,495,54308, ,2018-09-17 15:43:10 +0000
21,270 Toulon Boulevard,NULL, ,156,81766, ,2018-09-17 15:43:11 +0000
22,320 Brest Avenue,NULL, ,252,43331, ,2018-09-17 15:43:12 +0000
23,1417 Lancaster Avenue,NULL, ,267,72192, ,2018-09-17 15:43:13 +0000
24,1688 Okara Way,NULL, ,327,21954, ,2018-09-17 15:43:14 +0000
25,262 A Corua (La Corua) Parkway,NULL, ,525,34418, ,2018-09-17 15:43:15 +0000
26,28 Charlotte Amalie Street,NULL, ,443,37551, ,2018-09-17 15:43:15 +0000
27,1780 Hino Boulevard,NULL, ,303,7716, ,2018-09-17 15:43:16 +0000
28,96 Tafuna Way,NULL, ,128,99865, ,2018-09-17 15:43:17 +0000
29,934 San Felipe de Puerto Plata Street,NULL, ,472,99780, ,2018-09-17 15:43:18 +0000
30,18 Duisburg Boulevard,NULL, ,121,58327, ,2018-09-17 15:43:19 +0000
31,217 Botshabelo Place,NULL, ,138,49521, ,2018-09-17 15:43:20 +0000
32,1425 Shikarpur Manor,NULL, ,346,65599, ,2018-09-17 15:43:21 +0000
33,786 Aurora Avenue,NULL, ,474,65750, ,2018-09-17 15:43:22 +0000
34,1668 Anpolis Street,NULL, ,316,50199, ,2018-09-17 15:43:22 +0000
35,33 Gorontalo Way,NULL, ,257,30348, ,2018-09-17 15:43:23 +0000
36,176 Mandaluyong Place,NULL, ,239,65213, ,2018-09-17 15:43:24 +0000
37,127 Purnea (Purnia) Manor,NULL, ,17,79388, ,2018-09-17 15:43:25 +0000
38,61 Tama Street,NULL, ,284,94065, ,2018-09-17 15:43:26 +0000
39,391 Callao Drive,NULL, ,544,34021, ,2018-09-17 15:43:27 +0000
40,334 Munger (Monghyr) Lane,NULL, ,31,38145, ,2018-09-17 15:43:28 +0000
41,1440 Fukuyama Loop,NULL, ,362,47929, ,2018-09-17 15:43:29 +0000
42,269 Cam Ranh Parkway,NULL, ,115,34689, ,2018-09-17 15:43:30 +0000
43,306 Antofagasta Place,NULL, ,569,3989, ,2018-09-17 15:43:31 +0000
44,671 Graz Street,NULL, ,353,94399, ,2018-09-17 15:43:32 +0000
45,42 Brindisi Place,NULL, ,586,16744, ,2018-09-17 15:43:33 +0000
46,1632 Bislig Avenue,NULL, ,394,61117, ,2018-09-17 15:43:34 +0000
47,1447 Imus Way,NULL, ,167,48942, ,2018-09-17 15:43:35 +0000
48,1998 Halifax Drive,NULL, ,308,76022, ,2018-09-17 15:43:36 +0000
49,1718 Valencia Street,NULL, ,27,37359, ,2018-09-17 15:43:37 +0000
50,46 Pjatigorsk Lane,NULL, ,343,23616, ,2018-09-17 15:43:38 +0000
51,686 Garland Manor,NULL, ,247,52535, ,2018-09-17 15:43:39 +0000
52,909 Garland Manor,NULL, ,367,69367, ,2018-09-17 15:43:39 +0000
53,725 Isesaki Place,NULL, ,237,74428, ,2018-09-17 15:43:40 +0000
54,115 Hidalgo Parkway,NULL, ,379,80168, ,2018-09-17 15:43:41 +0000
55,1135 Izumisano Parkway,NULL, ,171,48150, ,2018-09-17 15:43:42 +0000
56,939 Probolinggo Loop,NULL, ,1,4166, ,2018-09-17 15:43:43 +0000
57,17 Kabul Boulevard,NULL, ,355,38594, ,2018-09-17 15:43:44 +0000
58,1964 Allappuzha (Alleppey) Street,NULL, ,227,48980, ,2018-09-17 15:43:45 +0000
59,1697 Kowloon and New Kowloon Loop,NULL, ,49,57807, ,2018-09-17 15:43:46 +0000
60,1668 Saint Louis Place,NULL, ,397,39072, ,2018-09-17 15:43:46 +0000
61,943 Tokat Street,NULL, ,560,45428, ,2018-09-17 15:43:47 +0000
62,1114 Liepaja Street,NULL, ,282,69226, ,2018-09-17 15:43:48 +0000
63,1213 Ranchi Parkway,NULL, ,350,94352, ,2018-09-17 15:43:49 +0000
64,81 Hodeida Way,NULL, ,231,55561, ,2018-09-17 15:43:50 +0000
65,915 Ponce Place,NULL, ,56,83980, ,2018-09-17 15:43:51 +0000
66,1717 Guadalajara Lane,NULL, ,441,85505, ,2018-09-17 15:43:52 +0000
67,1214 Hanoi Way,NULL, ,306,67055, ,2018-09-17 15:43:53 +0000
68,1966 Amroha Avenue,NULL, ,139,70385, ,2018-09-17 15:43:53 +0000
69,698 Otsu Street,NULL, ,105,71110, ,2018-09-17 15:43:54 +0000
70,1150 Kimchon Manor,NULL, ,321,96109, ,2018-09-17 15:43:55 +0000
71,1586 Guaruj Place,NULL, ,579,5135, ,2018-09-17 15:43:56 +0000
72,57 Arlington Manor,NULL, ,475,48960, ,2018-09-17 15:43:57 +0000
73,1031 Daugavpils Parkway,NULL, ,63,59025, ,2018-09-17 15:43:58 +0000
74,1124 Buenaventura Drive,NULL, ,13,6856, ,2018-09-17 15:43:59 +0000
75,492 Cam Ranh Street,NULL, ,61,50805, ,2018-09-17 15:44:00 +0000
76,89 Allappuzha (Alleppey) Manor,NULL, ,517,75444, ,2018-09-17 15:44:00 +0000
77,1947 Poos de Caldas Boulevard,NULL, ,114,60951, ,2018-09-17 15:44:01 +0000
78,1206 Dos Quebradas Place,NULL, ,431,20207, ,2018-09-17 15:44:02 +0000
79,1551 Rampur Lane,NULL, ,108,72394, ,2018-09-17 15:44:03 +0000
80,602 Paarl Street,NULL, ,402,98889, ,2018-09-17 15:44:04 +0000
81,1692 Ede Loop,NULL, ,30,9223, ,2018-09-17 15:44:05 +0000
82,936 Salzburg Lane,NULL, ,425,96709, ,2018-09-17 15:44:06 +0000
83,586 Tete Way,NULL, ,256,1079, ,2018-09-17 15:44:07 +0000
84,1888 Kabul Drive,NULL, ,217,20936, ,2018-09-17 15:44:07 +0000
85,320 Baiyin Parkway,NULL, ,319,37307, ,2018-09-17 15:44:08 +0000
86,927 Baha Blanca Parkway,NULL, ,479,9495, ,2018-09-17 15:44:09 +0000
87,929 Tallahassee Loop,NULL, ,497,74671, ,2018-09-17 15:44:10 +0000
88,125 Citt del Vaticano Boulevard,NULL, ,40,67912, ,2018-09-17 15:44:11 +0000
89,1557 Ktahya Boulevard,NULL, ,88,88002, ,2018-09-17 15:44:12 +0000
90,870 Ashqelon Loop,NULL, ,489,84931, ,2018-09-17 15:44:13 +0000
